Name,Date,Type,Description,Location,Type_as_str
New Year's Day,2024-01-01,['Optional holiday'],New Year’s Day is celebrated many countries such as in India on the January 1 in the Gregorian calendar.,All,['Optional holiday']
Lohri,2024-01-13,['Optional holiday'],Lohri is a restricted holiday in India,All,['Optional holiday']
Makar Sankranti,2024-01-14,"['Hinduism', 'Optional holiday']",Makar Sankranti is a restricted holiday in India,All,"['Hinduism', 'Optional holiday']"
Pongal,2024-01-15,"['Hinduism', 'Optional holiday']","Many southern states in India, particularly Tamil Nadu, celebrate Pongal as a thanksgiving for the good harvest season in mid-January every year.",All,"['Hinduism', 'Optional holiday']"
Guru Govind Singh Jayanti,2024-01-17,['Optional holiday'],Guru Gobind Singh Jayanti is the Sikh annual celebration that occurs in countries such as India around December or January in the Gregorian calendar.,All,['Optional holiday']
Hazarat Ali's Birthday,2024-01-25,['Optional holiday'],Hazarat Ali's Birthday is a restricted holiday in India,All,['Optional holiday']
Republic Day,2024-01-26,['National holiday'],India's Republic Day marks the anniversary of the adoption of the Indian constitution. It is an annual gazetted holiday in India on January 26.,All,['National holiday']
Lunar New Year,2024-02-10,['Observance'],Lunar New year is an annual global celebration in many countries including India.,All,['Observance']
Vasant Panchami,2024-02-14,"['Hinduism', 'Optional holiday']","Vasant Panchami, or India’s spring festival, is a Hindu event that includes special rituals and highlights the start of spring.",All,"['Hinduism', 'Optional holiday']"
Valentine's Day,2024-02-14,['Observance'],"Valentine’s Day is celebrated in many places worldwide, including in India, on February 14 each year.",All,['Observance']
Shivaji Jayanti,2024-02-19,['Optional holiday'],Shivaji Jayanti is a restricted holiday in India,All,['Optional holiday']
Guru Ravidas Jayanti,2024-02-24,['Optional holiday'],Guru Ravidas Jayanti is a restricted holiday in India,All,['Optional holiday']
Maharishi Dayanand Saraswati Jayanti,2024-03-06,['Optional holiday'],Maharishi Dayanand Saraswati Jayanti is a restricted holiday in India,All,['Optional holiday']
Maha Shivaratri/Shivaratri,2024-03-08,"['Hinduism', 'Optional holiday']","Maha Shivratri is an annual festival dedicated to Shiva, the Hindu God of destruction. For devotees, is a day of reflection and meditation.",All,"['Hinduism', 'Optional holiday']"
Ramadan Start,2024-03-12,['Observance'],"Ramadan is a period of prayer, reflection and fasting for many Muslims worldwide. It is the ninth month in the Islamic calendar.",All,['Observance']
March Equinox,2024-03-20,['Season'],March Equinox in India (New Delhi),All,['Season']
Holika Dahana,2024-03-24,['Optional holiday'],Holika Dahana is a restricted holiday in India,All,['Optional holiday']
Holi,2024-03-25,"['National holiday', 'Hinduism']","Holi is a spring festival of colors celebrated by Hindus, Sikhs and others. It celebrates the triumph of good over evil and the upcoming season of spring. The festival can last up to sixteen days.",All,"['National holiday', 'Hinduism']"
Dolyatra,2024-03-25,['Optional holiday'],Dolyatra is a restricted holiday in India,All,['Optional holiday']
Maundy Thursday,2024-03-28,"['Observance', 'Christian']",Maundy Thursday is a Christian observance on the Thursday during Holy Week. It is the day before Good Friday.,All,"['Observance', 'Christian']"
Good Friday,2024-03-29,['National holiday'],Many Christians commemorate Jesus Christ’s crucifixion and death on Good Friday. It is a gazetted holiday in India.,All,['National holiday']
Easter Day,2024-03-31,['Optional holiday'],"Easter Sunday commemorates Jesus Christ’s resurrection, according to Christian belief.",All,['Optional holiday']
Jamat Ul-Vida,2024-04-05,['Optional holiday'],Jamat Ul-Vida is a restricted holiday in India,All,['Optional holiday']
Chaitra Sukhladi,2024-04-09,"['Hinduism', 'Optional holiday']",Chaitra Sukhladi is a restricted holiday in India,All,"['Hinduism', 'Optional holiday']"
Ugadi,2024-04-09,"['Hinduism', 'Optional holiday']",Ugadi is a restricted holiday in India,All,"['Hinduism', 'Optional holiday']"
Gudi Padwa,2024-04-09,"['Hinduism', 'Optional holiday']",Gudi Padwa is a restricted holiday in India,All,"['Hinduism', 'Optional holiday']"
Ramzan Id,2024-04-11,['National holiday'],"One day of Eid-ul-Fitar, which marks the end of Ramadan, is a gazetted holiday in India.",All,['National holiday']
Vaisakhi,2024-04-13,['Optional holiday'],"Vaisakhi, also known as Baisakhi, is a harvest celebration on either April 13 or April 14 in the Gregorian calendar. It is one of India’s most notable celebrations.",All,['Optional holiday']
Mesadi / Vaisakhadi,2024-04-14,['Optional holiday'],Mesadi / Vaisakhadi is a restricted holiday in India,All,['Optional holiday']
Ambedkar Jayanti,2024-04-14,['National holiday'],Ambedkar Jayanti is a central government holiday in India,All,['National holiday']
Rama Navami,2024-04-17,"['National holiday', 'Hinduism']","Rama Navami is a Hindu festival that celebrates the birth of Rama, the first son of King Dasaratha of Ayodhya.",All,"['National holiday', 'Hinduism']"
Mahavir Jayanti,2024-04-21,['National holiday'],Mahavir Jayanti is a gazetted holiday in India,All,['National holiday']
First day of Passover,2024-04-23,['Observance'],"During Passover, the Jewish people remember the liberation of the Israelites from slavery, their exodus from Egypt, and that their first-born children were spared during the 10th plague, as told in the Haggadah.",All,['Observance']
International Worker's Day,2024-05-01,['Observance'],,All,['Observance']
Birthday of Rabindranath,2024-05-08,['Optional holiday'],Birthday of Rabindranath is a restricted holiday in India,All,['Optional holiday']
Mothers' Day,2024-05-12,['Observance'],Mother’s Day celebrates the achievements and efforts of mothers and mother figures.,All,['Observance']
Buddha Purnima/Vesak,2024-05-23,['National holiday'],"Vesak, also known as Buddha Purnima, celebrates of Gautama Buddha's birth, enlightenment and death.",All,['National holiday']
Fathers' Day,2024-06-16,['Observance'],Father’s Day celebrates fatherhood and male parenting on different dates worldwide.,All,['Observance']
Bakrid,2024-06-17,['National holiday'],"For India's more than 200 million Muslims, Bakrid, the Festival of Sacrifice, is one of the holiest days of the year.",All,['National holiday']
June Solstice,2024-06-21,['Season'],June Solstice in India (New Delhi),All,['Season']
Rath Yatra,2024-07-07,"['Hinduism', 'Optional holiday']",Rath Yatra is a restricted holiday in India,All,"['Hinduism', 'Optional holiday']"
Muharram/Ashura,2024-07-17,['National holiday'],"Muharram, or the Islamic New Year, is a public holiday in India.",All,['National holiday']
Guru Purnima,2024-07-21,['Observance'],"Guru Purnima is a festival that honors spiritual Gurus by remembering their life and teachings. It is observed on the full moon day, Purnima, in the Hindu month of Ashadh, which is usually June or July.",All,['Observance']
Friendship Day,2024-08-04,['Observance'],"For many Indian people, the first Sunday of August is dedicated to celebrating their best friends.",All,['Observance']
